entity_id,state,last_changed
sensor.kostal_kwh,2.874,2026-07-10T09:27:06.366Z
sensor.kostal_kwh,2.871,2026-07-10T09:29:07.050Z
sensor.kostal_kwh,2.92,2026-07-10T09:30:07.369Z
sensor.kostal_kwh,2.924,2026-07-10T09:31:07.703Z
sensor.kostal_kwh,2.926,2026-07-10T09:32:13.070Z
sensor.kostal_kwh,2.924,2026-07-10T09:33:13.379Z
sensor.kostal_kwh,2.918,2026-07-10T09:34:13.757Z
sensor.kostal_kwh,2.9170000000000003,2026-07-10T09:35:14.074Z
sensor.kostal_kwh,2.91,2026-07-10T09:36:14.390Z
sensor.kostal_kwh,2.906,2026-07-10T09:37:19.805Z
sensor.kostal_kwh,2.9010000000000002,2026-07-10T09:38:20.123Z
sensor.kostal_kwh,2.904,2026-07-10T09:39:20.473Z
sensor.kostal_kwh,2.895,2026-07-10T09:40:20.787Z
sensor.kostal_kwh,2.894,2026-07-10T09:41:21.093Z
sensor.kostal_kwh,2.8930000000000002,2026-07-10T09:42:21.459Z
sensor.kostal_kwh,2.884,2026-07-10T09:43:21.768Z
sensor.kostal_kwh,2.874,2026-07-10T09:45:22.507Z
sensor.kostal_kwh,2.8770000000000002,2026-07-10T09:46:22.782Z
sensor.kostal_kwh,2.869,2026-07-10T09:47:23.076Z
sensor.kostal_kwh,2.87,2026-07-10T09:48:23.478Z
sensor.kostal_kwh,2.867,2026-07-10T09:49:23.790Z
sensor.kostal_kwh,2.864,2026-07-10T09:50:24.173Z
sensor.kostal_kwh,2.86,2026-07-10T09:51:24.516Z
sensor.kostal_kwh,2.859,2026-07-10T09:52:24.815Z
sensor.kostal_kwh,2.938,2026-07-10T09:53:25.203Z
sensor.kostal_kwh,3.211,2026-07-10T09:54:25.521Z
sensor.kostal_kwh,3.232,2026-07-10T09:55:25.845Z
sensor.kostal_kwh,3.225,2026-07-10T09:56:26.230Z
sensor.kostal_kwh,3.226,2026-07-10T09:58:26.925Z
sensor.kostal_kwh,3.232,2026-07-10T10:00:27.538Z
sensor.kostal_kwh,3.228,2026-07-10T10:01:27.932Z
sensor.kostal_kwh,3.224,2026-07-10T10:02:28.272Z
sensor.kostal_kwh,3.229,2026-07-10T10:03:28.691Z
sensor.kostal_kwh,3.222,2026-07-10T10:04:29.010Z
sensor.kostal_kwh,3.23,2026-07-10T10:05:29.322Z
sensor.kostal_kwh,3.232,2026-07-10T10:06:29.709Z
sensor.kostal_kwh,3.235,2026-07-10T10:07:30.032Z
